code,name,revenue,net_profit,roe,revenue_growth,gross_margin,debt_ratio,current_ratio,asset_turnover
2064,华峰化学,241.9822,18.5755,6.9200,-10.1487,13.1890,25.8774,2.5459,0.6643
600662,外服控股,241.2939,6.5231,12.7700,8.1710,8.5608,64.4562,1.2061,1.4928
600497,驰宏锌锗,240.5946,10.3532,6.3252,27.9579,15.8242,27.7032,0.8980,0.9206
2701,奥瑞金,240.2020,10.0670,10.7300,75.6773,12.8423,65.8397,1.0717,0.9712
601005,重庆钢铁,240.0166,-27.2183,-17.8400,-11.9017,0.8204,56.6424,0.3167,0.7105
600350,山东高速,239.2546,32.0557,8.2000,-16.0342,32.9948,63.8294,0.6536,0.1473
600597,光明乳业,238.9535,-1.4921,-1.6000,-1.5752,17.2560,51.7091,0.9735,1.0599
600026,中远海能,238.9226,40.3731,10.4200,2.6781,26.1254,46.0861,1.2246,0.2748
600157,永泰能源,238.1727,2.0862,0.4448,-16.0078,20.8134,51.1997,0.2347,0.2176
601179,中国西电,238.1300,12.6968,5.6400,6.8780,22.7486,46.9686,1.6458,0.5008
2408,齐翔腾达,237.6975,-5.7453,-5.0300,-5.7461,3.2117,54.2138,0.6302,0.9530
2916,深南电路,236.4698,32.7574,20.7900,32.0511,28.3163,43.8231,1.3621,0.8463
2266,浙富控股,232.1356,11.1776,9.6100,11.0062,12.1718,55.7841,1.2727,0.8868
600428,中远海特,232.1056,17.7997,11.4200,38.3208,21.2426,57.7617,1.0514,0.5891
2460,赣锋锂业,230.8173,16.1298,3.8000,22.0842,15.7217,54.2306,0.9186,0.2156
600595,中孚实业,230.6842,16.1729,10.0500,1.3494,13.1518,29.2383,1.5202,0.9560
601068,中铝国际,230.5981,2.5760,3.8500,-3.9305,13.5396,77.4552,1.3071,0.5645
9,中国宝安,230.3628,2.0304,2.0400,13.8698,25.8185,59.7835,1.9841,0.4165
1286,陕西能源,229.5801,30.0950,11.8200,-0.8566,36.7752,54.5301,0.5169,0.3201
1248,华润新能源,229.0905,61.0181,6.9400,0.1549,48.8399,59.9803,0.6097,0.1040
1391,国货航,228.7808,25.8469,10.0100,11.1451,17.0509,10.3612,2.8930,0.7948
600,建投能源,227.8564,18.7853,16.5800,-3.1109,26.6476,59.1779,0.5219,0.4647
603997,继峰股份,227.8266,4.5359,9.1000,2.3689,16.0858,75.9421,1.2205,1.0431
2032,苏泊尔,227.7175,20.9672,35.0800,1.5357,24.8668,52.9049,1.5943,1.7068
301308,江波龙,227.6617,14.2330,19.4100,30.3632,19.3985,63.2466,1.7080,1.1484
2056,横店东磁,225.8637,18.5118,17.4200,21.7031,17.8158,59.6808,1.3116,0.8748
90,天健集团,225.0106,2.2344,1.1400,5.3551,12.7750,74.2727,1.5444,0.3709
603885,吉祥航空,224.9944,10.3964,9.9500,1.8306,12.4477,76.7817,0.3278,0.4497
49,德赛电池,223.9943,2.9227,4.4000,7.3837,9.0182,60.5873,1.3869,1.3220
300015,爱尔眼科,223.5260,32.4026,14.9700,6.5277,47.1135,36.2025,1.2383,0.6393
2001,新和成,222.5136,67.6420,21.8700,2.9698,44.6739,27.7275,2.6272,0.5023
600961,株冶集团,222.4642,11.2523,31.4000,12.5876,11.6459,48.9376,1.0935,2.3884
603883,老百姓,222.3662,3.8185,5.6600,-0.5412,32.2975,64.7470,0.8688,1.0876
2456,欧菲光,221.4994,0.4163,1.0700,8.3820,10.3249,76.9244,0.9315,1.0235
600073,光明肉业,221.2997,-1.3244,-2.7600,0.6508,11.2826,58.4785,1.1430,1.4982
905,厦门港务,221.2841,2.0573,4.1000,-0.0833,3.1909,50.5205,1.2604,1.6835
600939,重庆建工,221.1492,-11.9547,-16.1400,-18.9300,4.8701,91.3700,0.9161,0.2584
2541,鸿路钢构,220.6831,6.3117,6.4600,2.5748,9.8505,64.3833,1.2997,0.8285
